UID,Villager,Animal,Personality,Image,House Type,House Color,Trim Color,Roof Color,Roof Material,Door Color,Door Style
1,Al,Gorilla,Lazy,,Americana,Black,white,Grey,Curved shingles,Yellow,Vertical-panes
2,Aurora,Penguin,Normal,,Americana,Beige,white,Grey,Shingles,White,Basic
3,Bam,Deer,Jock,,Americana,Blue,white,Grey,Tin,Brown,Latticework
4,Becky,Chicken,Snooty,,Americana,Purple,white,Orange,Curved shingles,White,Vertical-panes
5,Bitty,Hippo,Snooty,,Americana,Pink,Beige,Beige,Curved shingles,Red,Vertical-panes
6,Blaire,Squirrel,Snooty,,Americana,Beige,white,Brown,Curved shingles,Brown,Iron grill
7,Carmen,Rabbit,Peppy,,Americana,White,Brown,Brown,Curved shingles,Teal,Rustic
8,Cashmere,Sheep,Snooty,,Americana,Grey,Grey,Brown,Shingles,Green,Common
9,Cherry,Dog,Uchi,,Americana,Black,white,Red,Tin,Black,Iron
10,Cleo,Horse,Snooty,,Americana,Beige,white,Purple,Tin,Brown,Iron grill
11,Daisy,Dog,Normal,,Americana,Beige,white,Beige,Curved shingles,Teal,Rustic
12,Iggly,Penguin,Jock,,Americana,Blue,white,Blue,Shingles,White,Common
13,Lobo,Wolf,Cranky,,Americana,Grey,Grey,Purple,Shingles,White,Rustic
14,Lucky,Dog,Lazy,,Americana,Black,White,Grey,Tin,Black,Rustic
15,Naomi,Cow,Snooty,,Americana,White,Brown,Green,Curved shingles,Blue,Rustic
16,Olive,Cub,Normal,,Americana,Beige,White,Black,Shingles,Brown,Iron grill
17,Peanut,Squirrel,Peppy,,Americana,Pink,White,Red,Curved shingles,White,Rustic
18,Pippy,Rabbit,Peppy,,Americana,Beige,white,Blue,Shingles,Brown,Common
19,Puck,Penguin,Lazy,,Americana,Pink,White,Blue,Shingles,Yellow,Common
20,Punchy,Cat,Lazy,,Americana,Beige,White,Grey,Tin,White,Wooden
21,Renée,Rhino,Uchi,,Americana,Purple,White,Pink,Shingles,White,Basic
22,Robin,Bird,Snooty,,Americana,White,Brown,Purple,Shingles,Red,Wooden
23,Roscoe,Horse,Cranky,,Americana,Grey,Grey,Grey,Tin,Black,Vertical-panes
24,Sylvia,Kangaroo,Uchi,,Americana,Black,White,Purple,Tin,Grey,Iron grill
25,Tammy,Cub,Uchi,,Americana,Beige,White,Yellow,Curved shingles,Yellow,Vertical-panes
26,Tasha,Squirrel,Snooty,,Americana,Black,White,White,Tin,White,Vertical-panes
27,Tom,Cat,Cranky,,Americana,Black,White,Grey,Tin,White,Rustic
28,Vic,Bull,Cranky,,Americana,Blue,white,Black,Shingles,Brown,Common
29,Broffina,Chicken,Snooty,,Americana,Brown,Brown,Red,Tin,Black,Common
30,Kevin,Pig,Jock,,Americana,Brown,Brown,Green,Curved shingles,Brown,Latticework
31,Moose,Mouse,Jock,,Americana,Brown,Brown,Red,Tin,Blue,Common
32,Sheldon,Squirrel,Jock,,Americana,Brown,Brown,Green,Tin,Yellow,Common
33,Spork,Pig,Lazy,,Americana,Brown,Brown,Brown,Curved shingles,White,Rustic
34,Tybalt,Tiger,Jock,,Americana,Brown,Brown,Grey,Curved shingles,Brown,Latticework
35,Grizzly,Bear,Cranky,,Americana,Brown,Brown,Red,Tin,Green,Windowed
36,Hazel,Squirrel,Uchi,,Americana,Brown,Brown,Red,Tin,Red,Wooden
37,Katt,Cat,Uchi,,Americana,Brown,Brown,Grey,Tin,Red,Vertical-panes
38,Amelia,Eagle,Snooty,,Cabin,White,Wood,Red,Shingles,Blue,Iron grill
39,Beau,Deer,Lazy,,Cabin,Tan,Wood,Brown,Shingles,Yellow,Simple
40,Bill,Duck,Jock,,Cabin,Tan,Wood,Red,Shingles,Brown,Wooden
41,Biskit,Dog,Lazy,,Cabin,Yellow,Wood,Blue,Shingles,Brown,Basic
42,Canberra,Koala,Uchi,,Cabin,Yellow,Wood,Brown,Tile,Brown,Vertical-panes
43,Candi,Mouse,Peppy,,Cabin,Pink,Wood,Grey,Thatch ,Teal,Rustic
44,Dom,Sheep,Jock,,Cabin,White,Wood,Red,Tile,Pink,Rustic
45,Elmer,Horse,Lazy,,Cabin,Tan,Wood,Brown,Shingles,Brown,Basic
46,Erik,Deer,Lazy,,Cabin,Tan,Wood,Brown,Thatch ,White,Rustic
47,Gonzo,Koala,Cranky,,Cabin,Grey,Wood,White,Thatch ,Brown,Wooden
48,Graham,Hamster,Smug,,Cabin,Yellow,Wood,Yellow,Tile,Red,Wooden
49,Huck,Frog,Smug,,Cabin,Black,Wood,Yellow,Thatch ,Brown,Windowed
50,Louie,Gorilla,Jock,,Cabin,Tan,Wood,Brown,Thatch ,Brown,Windowed
51,Lyman,Koala,Jock,,Cabin,White,Wood,Green,Tile,Brown,Wooden
52,Mac,Dog,Jock,,Cabin,Brown,Wood,Yellow,Tile,White,Windowed
53,Molly,Duck,Normal,,Cabin,Tan,Wood,Brown,Thatch ,Brown,Wooden
54,Murphy,Cub,Cranky,,Cabin,Tan,Wood,Green,Shingles,Teal,Rustic
55,Peaches,Horse,Normal,,Cabin,Pink,Wood,Brown,Thatch ,White,Rustic
56,Ricky,Squirrel,Cranky,,Cabin,Yellow,Wood,Blue,Shingles,Red,Metal-accent
57,Sly,Crocodile,Jock,,Cabin,Grey,Wood,Brown,Shingles,Brown,Wooden
58,Stella,Sheep,Normal,,Cabin,Pink,Wood,Purple,Shingles,Purple,Basic
59,Sydney,Koala,Normal,,Cabin,White,Wood,Purple,Shingles,Pink,Rustic
60,Tad,Frog,Jock,,Cabin,White,Wood,Grey,Thatch ,Green,Wooden
61,Teddy,Bear,Jock,,Cabin,Tan,Wood,Brown,Shingles,Brown,Windowed
62,Velma,Goat,Snooty,,Cabin,Pink,Wood,Red,Shingles,Brown,Vertical-panes
63,Vesta,Sheep,Normal,,Cabin,White,Wood,Black,Shingles,Beige,Basic
64,Anabelle,Anteater,Peppy,,Cottage,Yellow,N/A,Orange,Thatch ,White,Latticework
65,Ankha,Cat,Snooty,,Cottage,Yellow,N/A,Beige,Stone,Black,Metal-accent
66,Audie,Wolf,Peppy,,Cottage,Teal,N/A,Orange,Thatch ,White,Latticework
67,Baabara,Sheep,Snooty,,Cottage,Brown,N/A,Purple,Stone,White,Fancy
68,Bangle,Tiger,Peppy,,Cottage,Brown,N/A,Beige,Stone,Brown,Latticework
69,Boris,Pig,Cranky,,Cottage,Blue,N/A,Black,Stone,Black,Common
70,Bud,Lion,Jock,,Cottage,Yellow,N/A,White,Thatch ,Brown,Vertical-panes
71,Cheri,Cub,Peppy,,Cottage,White,N/A,Red,Tile,Pink,Metal-accent
72,Chevre,Goat,Normal,,Cottage,White,N/A,White,Tile,Pink,Rustic
73,Chops,Pig,Smug,,Cottage,Grey,N/A,White,Stone,Black,Fancy
74,Diva,Frog,Uchi,,Cottage,Grey,N/A,Purple,Stone,Black,Metal-accent
75,Fauna,Deer,Normal,,Cottage,Sand,N/A,Brown,Stone,Brown,Rustic
76,Flurry,Hamster,Normal,,Cottage,White,N/A,Beige,Stone,Blue,Rustic
77,Gabi,Rabbit,Peppy,,Cottage,White,N/A,Brown,Stone,Black,Iron grill
78,Gwen,Penguin,Snooty,,Cottage,White,N/A,Purple,Stone,Grey,Iron grill
79,Hopper,Penguin,Cranky,,Cottage,Yellow,N/A,Black,Stone,Beige,Rustic
80,Joey,Duck,Lazy,,Cottage,Yellow,N/A,Grey,Thatch ,White,Basic
81,Julian,Horse,Smug,,Cottage,White,N/A,Blue,Stone,Blue,Rustic
82,Kitt,Kangaroo,Normal,,Cottage,Yellow,N/A,White,Stone,Beige,Windowed
83,Kody,Cub,Jock,,Cottage,Teal,N/A,White,Stone,Blue,Windowed
84,Maddie,Dog,Peppy,,Cottage,Sand,N/A,Beige,Stone,White,Wooden
85,Marshal,Squirrel,Smug,,Cottage,White,N/A,Grey,Stone,Blue,Common
86,Mint,Squirrel,Snooty,,Cottage,Teal,N/A,Blue,Tile,Beige,Windowed
87,Moe,Cat,Lazy,,Cottage,Blue,N/A,Yellow,Thatch ,Blue,Wooden
88,Monty,Monkey,Cranky,,Cottage,Grey,N/A,Blue,Stone,Blue,Windowed
