Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Admiral,,,,Bird,Male,Cranky,A,Nature,1/27,aye aye,Steep Hill,Only quitters give up.,Cool,Cool,Black,Blue,3164,bat umbrella,dirt-clod wall,tatami,717;1849;7047;2736;787;5970;3449;3622;3802;4106;3438;4029,clay furnace;kotatsu;zen cushion;retro fan;tape deck;firewood;wooden stool;floor seat;pine bonsai tree;pendulum clock;wooden end table;rotary phone,1.0.0,#fffce9,#0ca54a,brd06,B3RyfNEqwGmcccRC3
Agent S,,,,Squirrel,Female,Peppy,B,Fitness,7/2,sidekick,Go K.K. Rider,You gotta put the pedal to the metal!,Active,Simple,Blue,Black,12036,beach umbrella,concrete wall,colorful tile flooring,7845;7150;3468;4080;290;3971;3449;1708;4756;2560;4753;7323;7789,pull-up-bar stand;blue corner;beach towel;long bathtub;treadmill;imperial partition;wooden stool;cassette player;throwback wall clock;wooden chest;throwback wrestling figure;brown wooden-deck rug;drying rack,1.0.0,#fffce9,#0961f6,squ05,SGMdki6dzpDZyXAw5
Agnes,,,,Pig,Female,Big Sister,A,Play,4/21,snuffle,K.K. House,You reap what you sow.,Simple,Elegant,Pink,White,4290,peach umbrella,gray molded-panel wall,arabesque flooring,4129;7236;7235;7802;896;3428;4027;7325;3958;7136;3951;3773;7801,monstera;lily record player;rose bed;pet bed;cat tower;wall-mounted TV (50 in.);floral swag;ivory medium round mat;antique mini table;cat grass;antique console table;terrarium;pet food bowl,1.0.0,#fffce9,#515151,pig17,jzWCiDPm9MqtCfecP
Al,,,,Gorilla,Male,Lazy,B,Fitness,10/18,ayyyeee,Go K.K. Rider,Life is a buffet. Always go back for seconds.,Active,Active,Red,White,3244,mush umbrella,concrete wall,green rubber flooring,1452;4078;4013;833;4116;3697;7845;3307;3946;3960;7800,weight bench;barbell;punching bag;upright locker;whiteboard;portable radio;pull-up-bar stand;digital scale;outdoor table;handy water cooler;protein shaker bottle,1.0.0,#fffad4,#798040,gor08,LBifxETQJGEaLhBjC
Alfonso,,,,Alligator,Male,Lazy,B,Play,6/9,it'sa me,Forest Life,Slow and steady wins the race.,Simple,Simple,Red,Blue,7969,pear umbrella,yellow playroom wall,green honeycomb tile,4763;3205;3701;1557;3623;85;3208;3584;4761;1217;3702,throwback dino screen;wooden-block stereo;writing desk;wooden-block bed;toy box;train set;wooden-block wall clock;writing poster;throwback rocket;standing toilet;writing chair,1.0.0,#fffce9,#e8b010,crd00,REpd8KxB8p9aGBRSE
Alice,,,,Koala,Female,Normal,B,Education,8/19,guvnor,Aloha K.K.,Treat others as you would like to be treated.,Cute,Cute,Red,Pink,4729,hydrangea umbrella,white botanical-tile wall,light parquet flooring,4052;4054;4129;4053;4049;3615;4051;7353;4130;3428;4046;4338,rattan bed;rattan low table;monstera;rattan armchair;rattan wardrobe;open-frame kitchen;rattan vanity;botanical rug;coconut wall planter;wall-mounted TV (50 in.);rattan end table;portable record player,1.0.0,#fffce9,#e8b010,kal01,wkPJDHMMMTK24eqzC
Alli,,,,Alligator,Female,Snooty,B,Fashion,11/8,graaagh,K.K. Soul,Think before you act.,Gorgeous,Elegant,Yellow,Brown,8199,patterned vinyl umbrella,woodland wall,rosewood flooring,4051;4054;790;4046;4049;4053;1836;4052;4014;3775,rattan vanity;rattan low table;hi-fi stereo;rattan end table;rattan wardrobe;rattan armchair;humidifier;rattan bed;folding floor lamp;hanging terrarium,1.0.0,#fffce9,#3fd8e0,crd01,dcB3BpFLtcXHAbt5i
Amelia,,,,Eagle,Female,Snooty,B,Music,11/19,cuz,K.K. Condor,"Pampering yourself is as important as food, water, and shelter!",Cool,Elegant,Black,White,7675,spider umbrella,summit wall,common flooring,4043;4042;4041;794;383;9313;4044;4036;4393;3229;4123,log round table;log bench;log bed;phonograph;acoustic guitar;red kilim-style carpet;log extra-long sofa;log decorative shelves;old-fashioned washtub;clothesline;mini-cactus set,1.0.0,#fffad4,#ff4040,pbr01,gWpcHhfpuN4MSTdhF
Anabelle,,,,Anteater,Female,Peppy,B,Fashion,2/16,snorty,Aloha K.K.,Dance like no one's watching!,Cute,Simple,Green,Blue,8190,fairy-tale umbrella,green painted-wood wall,yellow floral flooring,1913;1227;3995;2713;3490;3439;957;3697;3438;1838;2605;3270;4019;3431,wooden chair;deluxe washer;cute DIY table;refrigerator;wooden waste bin;wooden table;ventilation fan;portable radio;wooden end table;ironing set;wooden simple bed;ironwood kitchenette;stand mixer;wall fan,1.0.0,#fff2bb,#ff791f,ant03,gvdKbp6t9xMtx5swT
Anchovy,,,,Bird,Male,Lazy,B,Play,3/4,chuurp,K.K. Ragtime,Why do today what you can put off until tomorrow?,Simple,Simple,Colorful,Orange,3630,kiwi umbrella,modern wood wall,simple red flooring,863;791;937;1177;3681;1081;1087;4014;1853;1852;1852,billiard table;jukebox;dartboard;foosball table;piano bench;upright piano;pinball machine;folding floor lamp;box corner sofa;box sofa;box sofa,1.0.0,#fffce9,#d86808,brd02,T9ya79MPxRxcR4tae
